ESTADO;Ingrediente en la ficha;Producto de compra propuesto;Medida;Precio;Fiabilidad;Nº fichas;Aparece en
AUTOMATICO;tomate cherry;Tomate Cherry;Kilogramos;4,99;1.0;1;CEVICHE THAI
AUTOMATICO;corvina;Corvina;Kilogramos;12,43;1.0;2;CEVICHE THAI, CURRY ROJO DE VERDURAS Y CORVIN
AUTOMATICO;choclo;Choclo;Kilogramos;3,90;1.0;1;CEVICHE THAI
AUTOMATICO;Alcachofa confitada;Alcachofa confitada;Unidades;20,15;1.0;1;ALCACHOFAS CON HUEVO CODORNIZ
AUTOMATICO;Huevo de codorniz;Huevo de codorniz;Unidades;1,96;1.0;1;ALCACHOFAS CON HUEVO CODORNIZ
AUTOMATICO;Base de arroz de pescado;Base de arroz de pescado;Kilogramos;;1.0;1;ARROZ DE SEÑORET
AUTOMATICO;sepia;Sepia;Kilogramos;;1.0;1;ARROZ DE SEÑORET
AUTOMATICO;cola de gamba pelada;Gamba cola pelada 50/70;Kilogramos;8,39;1.0;2;ARROZ DE SEÑORET, ARROZ NERO
AUTOMATICO;Base de arroz  negro;Base de arroz negro;Kilogramos;;1.0;1;ARROZ NERO
AUTOMATICO;calamar;Calamar;Kilogramos;;1.0;1;ARROZ NERO
AUTOMATICO;Base de arroz  de carne;Base de arroz de carne;Kilogramos;87,00;1.0;1;ARROZ DE SECRETO
AUTOMATICO;coliflor;Coliflor;Kilogramos;3,90;1.0;1;CURRY ROJO DE VERDURAS Y CORVIN
AUTOMATICO;brocoli;Brocoli;Kilogramos;;1.0;1;CURRY ROJO DE VERDURAS Y CORVIN
AUTOMATICO;tirabeques;Tirabeques;Kilogramos;;1.0;1;CURRY ROJO DE VERDURAS Y CORVIN
AUTOMATICO;salmón;Salmón;Kilogramos;8,35;1.0;1;TARTAR DE SALMON
AUTOMATICO;sésamo negro;Sésamo negro;Kilogramos;;1.0;1;TARTAR DE SALMON
AUTOMATICO;Salsa de mostaza y miel;Salsa de mostaza y miel;Unidades;;1.0;1;FINGERS DE POLLO
AUTOMATICO;Canonigos;Canonigos;Unidades;1,50;1.0;1;ENSALADA DE BURRATA
AUTOMATICO;Rúcula;Rucula;Unidades;1,50;1.0;1;ENSALADA DE BURRATA
AUTOMATICO;Tomate cherry;Tomate Cherry;Kilogramos;4,99;1.0;1;ENSALADA DE BURRATA
AUTOMATICO;Furikake;Furikake;Unidades;;1.0;1;VIEIRAS FLAMBEADAS
AUTOMATICO;Lechuga romana;Lechuga romana;Unidades;0,99;1.0;1;CAZON EN ADOBO 
