Empresa;Nombre en BALLES;agora_id (ENLACE);Nombre en AGORA;Precio venta;Categoria;Estado;Lineas escandallo;Escandallo cocina;Ventas
BACANAL;Alhambra;2414;Alhambra;4.1;Cervezas;Activo;1;0;229
BACANAL;Tortilla trufada huevo;1839;Tortilla trufada huevo;15.4;Para empezar;Activo;0;0;191
BACANAL;Agua Fuenteliviana Grande;1872;Agua Fuenteliviana Grande;4.6;Refrescos;Activo;1;0;187
BACANAL;Servicio Pan;1909;Servicio Pan;1.5;Para empezar;Activo;0;0;185
BACANAL;Entrecot Lomo bajo frisona;2573;Entrecot Lomo bajo frisona;26;De la tierra;Activo;0;0;147
BACANAL;Tinto de Verano;1942;Tinto de Verano;4.1;Vinos tintos;Activo;0;0;147
BACANAL;Entraña con chimichurri y guarnicion;2022;Entraña con chimichurri y guarnicion;20.1;De la tierra;Activo;3;1;145
BACANAL;Cocacola Zero;1533;Cocacola Zero;3.55;Refrescos;Activo;1;0;143
BACANAL;Brioche meloso de ternera;1849;Brioche meloso de ternera;17.75;De la tierra;Activo;4;1;135
BACANAL;Tarta de queso;1854;Tarta de queso;7.3;Postres;Activo;1;1;132
BACANAL;Torreznos con guacamole y pico de gallo;2425;Torreznos con guacamole y pico de gallo;14.9;Para empezar;Activo;0;0;117
BACANAL;Torrijas con helado de vainilla;2427;Torrijas con helado de vainilla;6.7;Postres;Activo;0;0;113
BACANAL;Croquetas Jamon Iberico;1838;Croquetas Jamon Iberico;14.15;Para empezar;Activo;1;1;107
BACANAL;San Miguel;2417;San Miguel;3.65;Cervezas;Activo;0;0;107
BACANAL;Cafe con Leche;1901;Cafe con Leche;2.7;Cafes e infusiones;Activo;0;0;96
BACANAL;Cocacola;1532;Cocacola;3.55;Refrescos;Activo;1;0;96
BACANAL;Ensalada de Burrata;1834;Ensalada de Burrata;15.5;Para empezar;Activo;3;1;90
BACANAL;Vieiras con salsa kimchi flambeadas;1840;Vieira del Pacifico;19;De la mar;Activo;4;1;89
